Zugnummer;Zug;Ergebnis
84;Rxf3;1-0
85;Kg1;1-0
86;g4;1-0
87;Bb4;1-0
88;g3;1-0
89;fxg3;1-0
90;hxg3;1-0
91;hxg3;1-0
92;Rf1+;1-0
93;Kxf1;1-0
94;Kg5;1-0
95;Kg2;1-0
96;d3;1-0
97;cxd3;1-0
98;Kh6;1-0
99;Re7;1-0
100;Kg5;1-0
101;Rf1;1-0
102;Kh6;1-0
103;Bc3;1-0
104;Kg5;1-0
105;Rg7+;1-0
106;Kh6;1-0
107;Rh1#;1-0
1;e4;1/2-1/2
2;e5;1/2-1/2
3;Nf3;1/2-1/2
4;Nc6;1/2-1/2
5;c4;1/2-1/2
6;Bc5;1/2-1/2
7;d3;1/2-1/2
8;d6;1/2-1/2
9;Be3;1/2-1/2
10;Nh6;1/2-1/2
11;Qd2;1/2-1/2
12;Ng4;1/2-1/2
13;Be2;1/2-1/2
14;Nxe3;1/2-1/2
15;fxe3;1/2-1/2
16;O-O;1/2-1/2
17;Nc3;1/2-1/2
18;Na5;1/2-1/2
19;g3;1/2-1/2
20;Bb4;1/2-1/2
21;O-O;1/2-1/2
22;Qf6;1/2-1/2
23;Nd5;1/2-1/2
24;Bxd2;1/2-1/2
25;Nxf6+;1/2-1/2
26;gxf6;1/2-1/2
27;Nxd2;1/2-1/2
28;Kg7;1/2-1/2
29;Nb1;1/2-1/2
30;Nc6;1/2-1/2
31;Bh5;1/2-1/2
32;Nb4;1/2-1/2
33;Nc3;1/2-1/2
34;Nxd3;1/2-1/2
35;Bd1;1/2-1/2
36;Bd7;1/2-1/2
37;Rb1;1/2-1/2
38;Be6;1/2-1/2
39;Nd5;1/2-1/2
40;Rfc8;1/2-1/2
41;Nxf6;1/2-1/2
42;a5;1/2-1/2
43;Nxh7;1/2-1/2
44;Rg8;1/2-1/2
45;Ng5;1/2-1/2
46;Kg6;1/2-1/2
47;Nxe6;1/2-1/2
48;Kh6;1/2-1/2
49;Nd4;1/2-1/2
