Datetime,price,volume,ma_short,ma_long,rsi,trad_signal,trad_signal_trend,amplitude,time_comp,fft_period,resonance_score,use_grid,direction_hint,res_signal
2024-08-07 00:00:00+00:00,56298.58203125,0,55945.253743489586,60553.79717726934,65.04277715398,hold,sell,11197.82421875,3.9518072289156625,336.0,1.2312751685695533,True,-1.0,buy
2024-08-07 01:00:00+00:00,56962.37890625,0,55992.87744140625,60498.412388392855,68.42188384132695,hold,sell,11197.82421875,3.9518072289156625,336.0,1.137224107041085,False,-1.0,hold
2024-08-07 02:00:00+00:00,56766.86328125,379301888,56028.57275390625,60442.802571614586,71.6796652082937,hold,sell,11197.82421875,3.963855421686747,336.0,1.1063256881996455,False,-1.0,hold
2024-08-07 03:00:00+00:00,56914.40625,0,56079.438802083336,60388.32573009672,69.79332303455877,hold,sell,11197.82421875,3.963855421686747,336.0,1.107285616163278,False,-1.0,hold
2024-08-07 04:00:00+00:00,57110.77734375,65073152,56145.922526041664,60337.27534412203,64.38582651759,hold,sell,11197.82421875,3.963855421686747,336.0,1.1035233364253214,False,-1.0,hold
2024-08-07 05:00:00+00:00,56849.0859375,0,56183.450846354164,60282.29338727678,56.81551444075541,hold,sell,11197.82421875,3.9523809523809526,336.0,1.0871087290303934,False,-1.0,hold
2024-08-07 06:00:00+00:00,56834.1875,0,56225.465657552086,60225.125279017855,49.64426266464849,hold,sell,11197.82421875,3.9523809523809526,336.0,1.0712302919629852,False,-1.0,hold
2024-08-07 07:00:00+00:00,56953.07421875,0,56259.93701171875,60169.979701450895,56.20989338246724,hold,sell,11197.82421875,3.9759036144578315,336.0,1.0593995374111536,False,-1.0,hold
2024-08-07 08:00:00+00:00,57363.70703125,0,56352.513509114586,60116.79310825893,59.2687548487931,hold,sell,11197.82421875,3.9759036144578315,336.0,1.0562289701277818,False,-1.0,hold
2024-08-07 09:00:00+00:00,57379.94140625,0,56440.747395833336,60064.003138950895,59.37062191535128,hold,sell,11197.82421875,3.975609756097561,336.0,1.0534350472325273,False,-1.0,hold
2024-08-07 10:00:00+00:00,57387.61328125,0,56538.499837239586,60012.88523065476,64.42838669800503,hold,sell,11197.82421875,3.975609756097561,336.0,1.0523426734279278,False,-1.0,hold
2024-08-07 11:00:00+00:00,57014.78515625,0,56611.688639322914,59959.08791387649,59.095300080936624,hold,sell,11197.82421875,4.0,336.0,1.02319133805831,False,-1.0,hold
2024-08-07 12:00:00+00:00,57320.15625,0,56714.506673177086,59907.070521763395,67.31013851223992,hold,sell,11030.1484375,4.0,336.0,0.9862273318250012,False,-1.0,hold
2024-08-07 13:00:00+00:00,56792.40625,0,56777.699544270836,59849.24286179316,61.166420784502236,hold,sell,9797.57421875,3.9879518072289155,336.0,0.8797927038136586,False,-1.0,hold
2024-08-07 14:00:00+00:00,56204.9921875,0,56782.047200520836,59788.604282924105,48.77711663098924,hold,sell,9471.671875,3.9879518072289155,336.0,0.8405335443778377,False,-1.0,hold
2024-08-07 15:00:00+00:00,56098.8046875,0,56770.671875,59727.535923549105,36.79144615068416,hold,sell,9471.671875,3.9879518072289155,336.0,0.8369120442753721,False,-1.0,hold
2024-08-07 16:00:00+00:00,56166.625,0,56741.957845052086,59666.78252883184,40.44602343028179,hold,sell,9471.671875,4.0,336.0,0.8335387547642935,False,-1.0,hold
2024-08-07 17:00:00+00:00,55528.93359375,0,56697.572265625,59600.607142857145,30.923970393190558,hold,sell,9471.671875,4.0,336.0,0.831776062549074,False,-1.0,hold
2024-08-07 18:00:00+00:00,54804.171875,676741120,56614.920572916664,59530.91424851191,22.27530920192052,hold,hold,9471.671875,4.0,336.0,0.8287232322708564,False,-1.0,hold
2024-08-07 19:00:00+00:00,54799.23046875,57126912,56531.711100260414,59469.130092075895,23.74060615037564,hold,hold,9307.0078125,4.0,336.0,0.8084972290686808,False,-1.0,hold
2024-08-07 20:00:00+00:00,55011.75,452202496,56467.3671875,59412.269926525296,27.779005545913336,hold,hold,8819.1171875,4.0,336.0,0.7647121823749475,False,-1.0,hold
2024-08-07 21:00:00+00:00,55425.80078125,338821120,56424.973470052086,59355.45505487351,32.62833409161999,hold,sell,8819.1171875,4.0,336.0,0.7632674860255692,False,-1.0,hold
