,nav
2025-04-28 19:00:00+00:00,10500.349563997586
2025-04-28 20:00:00+00:00,10494.870513900034
2025-04-28 21:00:00+00:00,10495.311155656527
2025-04-28 22:00:00+00:00,10500.665559385652
2025-04-28 23:00:00+00:00,10503.401176602336
2025-04-29 00:00:00+00:00,10504.344985428781
2025-04-29 01:00:00+00:00,10503.033166621608
2025-04-29 02:00:00+00:00,10497.478115927524
2025-04-29 03:00:00+00:00,10497.960261555882
2025-04-29 04:00:00+00:00,10492.199712794933
2025-04-29 05:00:00+00:00,10491.323549889516
2025-04-29 06:00:00+00:00,10500.339592288112
2025-04-29 07:00:00+00:00,10502.581609885827
2025-04-29 08:00:00+00:00,10503.782796618969
2025-04-29 09:00:00+00:00,10503.664753139248
2025-04-29 10:00:00+00:00,10500.320457386148
2025-04-29 11:00:00+00:00,10506.16226210403
2025-04-29 12:00:00+00:00,10500.679304174386
2025-04-29 13:00:00+00:00,10502.559106163095
2025-04-29 14:00:00+00:00,10504.649257320574
2025-04-29 15:00:00+00:00,10500.567189819218
2025-04-29 16:00:00+00:00,10503.28407639243
2025-04-29 17:00:00+00:00,10508.530408351307
2025-04-29 18:00:00+00:00,10510.694943071352
2025-04-29 19:00:00+00:00,10509.627296393464
2025-04-29 20:00:00+00:00,10501.052704268344
2025-04-29 21:00:00+00:00,10499.427450376888
2025-04-29 22:00:00+00:00,10489.713657820763
2025-04-29 23:00:00+00:00,10490.91929139732
2025-04-30 00:00:00+00:00,10494.531610530745
2025-04-30 01:00:00+00:00,10495.352929034054
2025-04-30 02:00:00+00:00,10497.299837932465
2025-04-30 03:00:00+00:00,10503.618128659815
2025-04-30 04:00:00+00:00,10504.345793945766
2025-04-30 05:00:00+00:00,10501.710702340806
2025-04-30 06:00:00+00:00,10499.410336767385
2025-04-30 07:00:00+00:00,10496.677145101654
2025-04-30 08:00:00+00:00,10498.470840031525
2025-04-30 09:00:00+00:00,10503.028989283855
2025-04-30 10:00:00+00:00,10502.36317554721
2025-04-30 11:00:00+00:00,10507.065510328424
2025-04-30 12:00:00+00:00,10497.031140787987
2025-04-30 13:00:00+00:00,10470.245107847968
2025-04-30 14:00:00+00:00,10483.013477571121
2025-04-30 15:00:00+00:00,10486.590087204402
2025-04-30 16:00:00+00:00,10485.217494870569
2025-04-30 17:00:00+00:00,10487.867005028416
2025-04-30 18:00:00+00:00,10487.741684895835
2025-04-30 19:00:00+00:00,10490.05350445987
2025-04-30 20:00:00+00:00,10497.230979235963
2025-04-30 21:00:00+00:00,10493.190685112133
2025-04-30 22:00:00+00:00,10488.04083618006
2025-04-30 23:00:00+00:00,10489.429194595088
2025-05-01 00:00:00+00:00,10492.382841891897
2025-05-01 01:00:00+00:00,10496.497115319797
2025-05-01 02:00:00+00:00,10500.332315635253
2025-05-01 03:00:00+00:00,10499.564763511404
2025-05-01 04:00:00+00:00,10501.190960672675
2025-05-01 05:00:00+00:00,10505.903671421855
2025-05-01 06:00:00+00:00,10501.282862103233
2025-05-01 07:00:00+00:00,10504.074806003164
2025-05-01 08:00:00+00:00,10506.875239331432
2025-05-01 09:00:00+00:00,10514.025628788548
2025-05-01 10:00:00+00:00,10523.772301035373
2025-05-01 11:00:00+00:00,10524.14933945576
2025-05-01 12:00:00+00:00,10527.157426896183
2025-05-01 13:00:00+00:00,10518.662069435533
2025-05-01 14:00:00+00:00,10535.34285284615
2025-05-01 15:00:00+00:00,10536.43637206754
2025-05-01 16:00:00+00:00,10539.55077949141
2025-05-01 17:00:00+00:00,10534.393923412137
2025-05-01 18:00:00+00:00,10535.8271545198
2025-05-01 19:00:00+00:00,10529.742929459433
2025-05-01 20:00:00+00:00,10528.353358268927
2025-05-01 21:00:00+00:00,10529.48649482255
2025-05-01 22:00:00+00:00,10527.350527702622
2025-05-01 23:00:00+00:00,10528.896951188099
2025-05-02 00:00:00+00:00,10538.362124771525
2025-05-02 01:00:00+00:00,10538.02766824565
2025-05-02 02:00:00+00:00,10537.643622678064
2025-05-02 03:00:00+00:00,10540.018237061218
2025-05-02 04:00:00+00:00,10537.010284373624
2025-05-02 05:00:00+00:00,10532.886982506065
2025-05-02 06:00:00+00:00,10532.774463892403
2025-05-02 07:00:00+00:00,10527.687948790774
2025-05-02 08:00:00+00:00,10531.491616943838
2025-05-02 09:00:00+00:00,10531.855988598138
