sequence;count;avg_score
g2 Rg1 Kh6 Rxg2 Kxg5 Be7+ Kf4 Rg3 Kxe5 Bc6;1;10.0
Rg1 Kh6 Rxg2 Kxg5 Be7+ Kf4 Rg3 Kxe5 Bc6 Kf4;1;10.0
Kh6 Rxg2 Kxg5 Be7+ Kf4 Rg3 Kxe5 Bc6 Kf4 c4;1;10.0
Rxg2 Kxg5 Be7+ Kf4 Rg3 Kxe5 Bc6 Kf4 c4 Ke5;1;10.0
Kxg5 Be7+ Kf4 Rg3 Kxe5 Bc6 Kf4 c4 Ke5 Bd5;1;10.0
Be7+ Kf4 Rg3 Kxe5 Bc6 Kf4 c4 Ke5 Bd5 Kd4;1;10.0
Kf4 Rg3 Kxe5 Bc6 Kf4 c4 Ke5 Bd5 Kd4 Rd3+;1;10.0
Rg3 Kxe5 Bc6 Kf4 c4 Ke5 Bd5 Kd4 Rd3+ Ke5;1;10.0
Kxe5 Bc6 Kf4 c4 Ke5 Bd5 Kd4 Rd3+ Ke5 Ng6#;1;10.0
Nf6 Nf7 a5 Nxd8 Nc6 Nxb7 Kd7 Nd8 Rb8 Nf7;1;10.0
Nf7 a5 Nxd8 Nc6 Nxb7 Kd7 Nd8 Rb8 Nf7 Bb7;1;10.0
a5 Nxd8 Nc6 Nxb7 Kd7 Nd8 Rb8 Nf7 Bb7 Nd6;1;10.0
Nxd8 Nc6 Nxb7 Kd7 Nd8 Rb8 Nf7 Bb7 Nd6 e5;1;10.0
Nc6 Nxb7 Kd7 Nd8 Rb8 Nf7 Bb7 Nd6 e5 Nxb7;1;10.0
Nxb7 Kd7 Nd8 Rb8 Nf7 Bb7 Nd6 e5 Nxb7 e4;1;10.0
Kd7 Nd8 Rb8 Nf7 Bb7 Nd6 e5 Nxb7 e4 Nd8;1;10.0
Nd8 Rb8 Nf7 Bb7 Nd6 e5 Nxb7 e4 Nd8 Bb4;1;10.0
Rb8 Nf7 Bb7 Nd6 e5 Nxb7 e4 Nd8 Bb4 Ne6;1;10.0
Nf7 Bb7 Nd6 e5 Nxb7 e4 Nd8 Bb4 Ne6 Rg8;1;10.0
Bb7 Nd6 e5 Nxb7 e4 Nd8 Bb4 Ne6 Rg8 Nxg7;1;10.0
Nd6 e5 Nxb7 e4 Nd8 Bb4 Ne6 Rg8 Nxg7 Rf8;1;10.0
e5 Nxb7 e4 Nd8 Bb4 Ne6 Rg8 Nxg7 Rf8 Nf5;1;10.0
Nxb7 e4 Nd8 Bb4 Ne6 Rg8 Nxg7 Rf8 Nf5 e3;1;10.0
e4 Nd8 Bb4 Ne6 Rg8 Nxg7 Rf8 Nf5 e3 Nd6;1;10.0
Nd8 Bb4 Ne6 Rg8 Nxg7 Rf8 Nf5 e3 Nd6 exd2+;1;10.0
Bb4 Ne6 Rg8 Nxg7 Rf8 Nf5 e3 Nd6 exd2+ Qxd2;1;10.0
Ne6 Rg8 Nxg7 Rf8 Nf5 e3 Nd6 exd2+ Qxd2 Bxd2+;1;10.0
Rg8 Nxg7 Rf8 Nf5 e3 Nd6 exd2+ Qxd2 Bxd2+ Bxd2;1;10.0
Nxg7 Rf8 Nf5 e3 Nd6 exd2+ Qxd2 Bxd2+ Bxd2 cxd6;1;10.0
Rf8 Nf5 e3 Nd6 exd2+ Qxd2 Bxd2+ Bxd2 cxd6 Na3;1;10.0
Nf5 e3 Nd6 exd2+ Qxd2 Bxd2+ Bxd2 cxd6 Na3 d5;1;10.0
e3 Nd6 exd2+ Qxd2 Bxd2+ Bxd2 cxd6 Na3 d5 Nb5;1;10.0
Nd6 exd2+ Qxd2 Bxd2+ Bxd2 cxd6 Na3 d5 Nb5 Rg8;1;10.0
