M,freq_eps_1,freq_eps_0.5,freq_eps_0.6666666666666666,freq_eps_0.75,freq_eps_1.25
2.63075,2.024809038424269e+23,4.049618076848538e+23,3.0372135576364037e+23,2.6997453845656922e+23,1.6198472307394153e+23
85.7465,6.599649841803539e+24,1.3199299683607077e+25,9.899474762705307e+24,8.799533122404718e+24,5.27971987344283e+24
15.3304,1.1799347137758971e+24,2.3598694275517943e+24,1.7699020706638458e+24,1.5732462850345298e+24,9.439477710207177e+23
69.2107,5.326939120618476e+24,1.0653878241236952e+25,7.990408680927715e+24,7.102585494157969e+24,4.2615512964947806e+24
16.2728,1.2524684033249242e+24,2.5049368066498485e+24,1.8787026049873866e+24,1.6699578710998992e+24,1.0019747226599393e+24
26.3446,2.0276645136813457e+24,4.0553290273626913e+24,3.0414967705220185e+24,2.703552684908461e+24,1.6221316109450764e+24
28.4991,2.193489889459549e+24,4.386979778919098e+24,3.2902348341893237e+24,2.9246531859460654e+24,1.754791911567639e+24
36.1968,2.7859586734594917e+24,5.571917346918983e+24,4.178938010189238e+24,3.7146115646126563e+24,2.2287669387675935e+24
18.1423,1.3963581875056397e+24,2.7927163750112795e+24,2.0945372812584596e+24,1.8618109166741865e+24,1.1170865500045118e+24
39.6666,3.0530187286348044e+24,6.106037457269609e+24,4.5795280929522066e+24,4.070691638179739e+24,2.442414982907843e+24
18.4661,1.4212800982399087e+24,2.8425601964798174e+24,2.131920147359863e+24,1.895040130986545e+24,1.1370240785919268e+24
72.1293,5.551574971974365e+24,1.110314994394873e+25,8.32736245796155e+24,7.402099962632489e+24,4.4412599775794927e+24
2.57209,1.9796602032274743e+23,3.9593204064549486e+23,2.9694903048412116e+23,2.6395469376366326e+23,1.5837281625819795e+23
8.14862,6.271747382565719e+23,1.2543494765131438e+24,9.407621073848579e+23,8.362329843420959e+23,5.017397906052575e+23
12.9796,9.990007182412485e+23,1.998001436482497e+24,1.4985010773618728e+24,1.332000957654998e+24,7.992005745929987e+23
11.0284,8.488227311359197e+23,1.6976454622718395e+24,1.2732340967038798e+24,1.1317636415145597e+24,6.790581849087358e+23
36.9375,2.8429681215165426e+24,5.685936243033085e+24,4.264452182274814e+24,3.7906241620220566e+24,2.2743744972132337e+24
26.6316,2.0497540392549563e+24,4.0995080785099126e+24,3.0746310588824347e+24,2.733005385673275e+24,1.639803231403965e+24
28.4825,2.1922122374577304e+24,4.384424474915461e+24,3.288318356186596e+24,2.922949649943641e+24,1.7537697899661843e+24
13.8532,1.0662390790116539e+24,2.1324781580233078e+24,1.599358618517481e+24,1.421652105348872e+24,8.52991263209323e+23
33.5097,2.5791406798398074e+24,5.158281359679615e+24,3.8687110197597116e+24,3.4388542397864106e+24,2.063312543871846e+24
3.49424,2.6894112836353198e+23,5.3788225672706396e+23,4.0341169254529804e+23,3.58588171151376e+23,2.1515290269082557e+23
27.1377,2.0887070319128114e+24,4.177414063825623e+24,3.133060547869217e+24,2.7849427092170823e+24,1.670965625530249e+24
12.4801,9.605557077045983e+23,1.9211114154091966e+24,1.4408335615568977e+24,1.2807409436061312e+24,7.684445661636786e+23
15.5541,1.1971522290052237e+24,2.3943044580104474e+24,1.7957283435078358e+24,1.596202972006965e+24,9.57721783204179e+23
13.875,1.0679169593513915e+24,2.135833918702783e+24,1.6018754390270874e+24,1.4238892791351888e+24,8.543335674811132e+23
3.21716,2.4761511531148994e+23,4.952302306229799e+23,3.714226729672349e+23,3.301534870819866e+23,1.9809209224919194e+23
4.01412,3.089547261168727e+23,6.179094522337453e+23,4.63432089175309e+23,4.119396348224969e+23,2.471637808934981e+23
30.3835,2.3385264817623788e+24,4.6770529635247576e+24,3.5077897226435685e+24,3.1180353090165054e+24,1.870821185409903e+24
13.7232,1.0562333705636769e+24,2.1124667411273539e+24,1.5843500558455153e+24,1.4083111607515692e+24,8.449866964509415e+23
52.0,4.0022833791908007e+24,8.004566758381601e+24,6.003425068786201e+24,5.336377838921068e+24,3.2018267033526404e+24
23.3469,1.796940573569802e+24,3.593881147139604e+24,2.6954108603547035e+24,2.3959207647597362e+24,1.4375524588558417e+24
6.55081,5.041961150622479e+23,1.0083922301244958e+24,7.562941725933718e+23,6.722614867496639e+23,4.0335689204979826e+23
8.63845,6.648754780186687e+23,1.3297509560373373e+24,9.973132170280031e+23,8.86500637358225e+23,5.3190038241493495e+23
15.2079,1.1705062577383803e+24,2.3410125154767607e+24,1.7557593866075706e+24,1.5606750103178405e+24,9.364050061907042e+23
75.6046,5.819058345584015e+24,1.163811669116803e+25,8.728587518376024e+24,7.758744460778689e+24,4.6552466764672126e+24
30.9575,2.3827055329096003e+24,4.7654110658192007e+24,3.574058299364401e+24,3.176940710546134e+24,1.9061644263276802e+24
25.4241,1.9568164011708623e+24,3.9136328023417245e+24,2.9352246017562936e+24,2.6090885348944834e+24,1.5654531209366898e+24
19.4726,1.498747371723669e+24,2.997494743447338e+24,2.2481210575855037e+24,1.9983298289648922e+24,1.1989978973789351e+24
15.8243,1.2179487091794038e+24,2.4358974183588075e+24,1.8269230637691056e+24,1.623931612239205e+24,9.743589673435228e+23
90.0147,6.928160340247042e+24,1.3856320680494084e+25,1.0392240510370564e+25,9.23754712032939e+24,5.542528272197633e+24
